#Digilent WaveForms Oscilloscope Acquisition,,,
#Device Name: Discovery2,,,
#Serial Number: SN:210321AD643B,,,
#Date Time: 2025-02-08 17:53:22.654,,,
#Sample rate: 800Hz,,,
#Samples: 6323,,,
#Trigger: Source: Digital,,,
#Channel 1: Range: 1 V/div Offset: 0 V Sample Mode: Average,,,
#Channel 2: Range: 1 V/div Offset: 0 V Sample Mode: Average,,,
,,,
Time (s),Channel 1 (V),Channel 2 (V),applied_voltage
-1.57125,0.048501687,0.053475056,0
-1.57,0.048501687,0.053475056,0
-1.56875,0.048501687,0.053475056,0
-1.5675,0.048501687,0.053475056,0
-1.56625,0.048501687,0.053475056,0
-1.565,0.048501687,0.053475056,0
-1.56375,0.044783434,0.049763241,0
-1.5625,0.048501687,0.049763241,0
-1.56125,0.048501687,0.053475056,0
-1.56,0.048501687,0.053475056,0
-1.55875,0.048501687,0.053475056,0
-1.5575,0.048501687,0.053475056,0
-1.55625,0.048501687,0.049763241,0
-1.555,0.044783434,0.049763241,0
-1.55375,0.044783434,0.053475056,0
-1.5525,0.048501687,0.053475056,0
-1.55125,0.048501687,0.053475056,0
-1.55,0.048501687,0.053475056,0
-1.54875,0.048501687,0.053475056,0
-1.5475,0.048501687,0.049763241,0
-1.54625,0.048501687,0.053475056,0
-1.545,0.044783434,0.049763241,0
-1.54375,0.048501687,0.053475056,0
-1.5425,0.048501687,0.053475056,0
-1.54125,0.048501687,0.053475056,0
-1.54,0.048501687,0.053475056,0
-1.53875,0.048501687,0.049763241,0
-1.5375,0.048501687,0.053475056,0
-1.53625,0.048501687,0.053475056,0
-1.535,0.048501687,0.053475056,0
-1.53375,0.048501687,0.053475056,0
-1.5325,0.048501687,0.053475056,0
-1.53125,0.048501687,0.053475056,0
-1.53,0.048501687,0.053475056,0
-1.52875,0.048501687,0.053475056,0
-1.5275,0.048501687,0.053475056,0
-1.52625,0.048501687,0.053475056,0
-1.525,0.048501687,0.053475056,0
-1.52375,0.048501687,0.053475056,0
-1.5225,0.048501687,0.053475056,0
-1.52125,0.048501687,0.053475056,0
-1.52,0.048501687,0.053475056,0
-1.51875,0.048501687,0.053475056,0
-1.5175,0.048501687,0.053475056,0
-1.51625,0.048501687,0.053475056,0
-1.515,0.048501687,0.053475056,0
-1.51375,0.048501687,0.053475056,0
-1.5125,0.048501687,0.053475056,0
-1.51125,0.048501687,0.053475056,0
-1.51,0.048501687,0.053475056,0
-1.50875,0.048501687,0.053475056,0
-1.5075,0.048501687,0.053475056,0
-1.50625,0.048501687,0.053475056,0
-1.505,0.048501687,0.053475056,0
-1.50375,0.048501687,0.053475056,0
-1.5025,0.048501687,0.053475056,0
-1.50125,0.048501687,0.053475056,0
-1.5,0.048501687,0.053475056,0
-1.49875,0.048501687,0.053475056,0
-1.4975,0.048501687,0.053475056,0
-1.49625,0.048501687,0.053475056,0
-1.495,0.048501687,0.053475056,0
-1.49375,0.048501687,0.053475056,0
-1.4925,0.048501687,0.053475056,0
-1.49125,0.048501687,0.053475056,0
-1.49,0.048501687,0.053475056,0
-1.48875,0.048501687,0.053475056,0
-1.4875,0.048501687,0.053475056,0
-1.48625,0.048501687,0.053475056,0
-1.485,0.048501687,0.053475056,0
-1.48375,0.048501687,0.053475056,0
-1.4825,0.048501687,0.053475056,0
-1.48125,0.048501687,0.053475056,0
-1.48,0.048501687,0.053475056,0
-1.47875,0.048501687,0.053475056,0
-1.4775,0.048501687,0.053475056,0
-1.47625,0.048501687,0.053475056,0
-1.475,0.048501687,0.053475056,0
-1.47375,0.048501687,0.053475056,0
-1.4725,0.048501687,0.053475056,0
-1.47125,0.048501687,0.053475056,0
-1.47,0.048501687,0.053475056,0
-1.46875,0.048501687,0.053475056,0
-1.4675,0.048501687,0.049763241,0
-1.46625,0.048501687,0.053475056,0
-1.465,0.048501687,0.053475056,0
-1.46375,0.048501687,0.053475056,0
-1.4625,0.048501687,0.053475056,0
-1.46125,0.048501687,0.053475056,0
-1.46,0.048501687,0.053475056,0
-1.45875,0.044783434,0.049763241,0
-1.4575,0.044783434,0.053475056,0
-1.45625,0.044783434,0.053475056,0
-1.455,0.048501687,0.053475056,0
-1.45375,0.048501687,0.053475056,0
-1.4525,0.048501687,0.053475056,0
-1.45125,0.048501687,0.053475056,0
-1.45,0.048501687,0.053475056,0
-1.44875,0.048501687,0.049763241,0
-1.4475,0.048501687,0.053475056,0
-1.44625,0.048501687,0.049763241,0
-1.445,0.048501687,0.053475056,0
-1.44375,0.048501687,0.049763241,0
-1.4425,0.048501687,0.049763241,0
-1.44125,0.048501687,0.053475056,0
-1.44,0.048501687,0.053475056,0
-1.43875,0.048501687,0.053475056,0
-1.4375,0.048501687,0.053475056,0
-1.43625,0.048501687,0.053475056,0
-1.435,0.048501687,0.053475056,0
-1.43375,0.048501687,0.049763241,0
-1.4325,0.048501687,0.053475056,0
-1.43125,0.048501687,0.049763241,0
-1.43,0.048501687,0.053475056,0
-1.42875,0.048501687,0.053475056,0
-1.4275,0.048501687,0.053475056,0
-1.42625,0.048501687,0.053475056,0
-1.425,0.048501687,0.053475056,0
-1.42375,0.048501687,0.053475056,0
-1.4225,0.048501687,0.053475056,0
-1.42125,0.048501687,0.053475056,0
-1.42,0.048501687,0.053475056,0
-1.41875,0.048501687,0.053475056,0
-1.4175,0.048501687,0.053475056,0
-1.41625,0.048501687,0.053475056,0
-1.415,0.048501687,0.053475056,0
-1.41375,0.048501687,0.053475056,0
-1.4125,0.048501687,0.053475056,0
-1.41125,0.048501687,0.053475056,0
-1.41,0.048501687,0.053475056,0
-1.40875,0.048501687,0.053475056,0
-1.4075,0.048501687,0.053475056,0
-1.40625,0.048501687,0.053475056,0
-1.405,0.048501687,0.053475056,0
-1.40375,0.048501687,0.053475056,0
-1.4025,0.048501687,0.053475056,0
-1.40125,0.048501687,0.053475056,0
-1.4,0.048501687,0.053475056,0
-1.39875,0.048501687,0.053475056,0
-1.3975,0.048501687,0.053475056,0
-1.39625,0.048501687,0.053475056,0
-1.395,0.048501687,0.053475056,0
-1.39375,0.048501687,0.053475056,0
-1.3925,0.048501687,0.053475056,0
-1.39125,0.048501687,0.053475056,0
-1.39,0.048501687,0.053475056,0
-1.38875,0.048501687,0.053475056,0
-1.3875,0.048501687,0.053475056,0
-1.38625,0.048501687,0.053475056,0
-1.385,0.048501687,0.053475056,0
-1.38375,0.048501687,0.053475056,0
-1.3825,0.048501687,0.053475056,0
-1.38125,0.048501687,0.053475056,0
-1.38,0.048501687,0.053475056,0
-1.37875,0.048501687,0.053475056,0
-1.3775,0.048501687,0.053475056,0
-1.37625,0.048501687,0.053475056,0
-1.375,0.048501687,0.053475056,0
-1.37375,0.048501687,0.053475056,0
-1.3725,0.048501687,0.053475056,0
-1.37125,0.048501687,0.053475056,0
-1.37,0.048501687,0.053475056,0
-1.36875,0.048501687,0.053475056,0
-1.3675,0.048501687,0.053475056,0
-1.36625,0.048501687,0.053475056,0
-1.365,0.048501687,0.053475056,0
-1.36375,0.048501687,0.053475056,0
-1.3625,0.048501687,0.053475056,0
-1.36125,0.048501687,0.053475056,0
-1.36,0.048501687,0.053475056,0
-1.35875,0.048501687,0.053475056,0
-1.3575,0.048501687,0.053475056,0
-1.35625,0.048501687,0.053475056,0
-1.355,0.048501687,0.049763241,0
-1.35375,0.048501687,0.053475056,0
-1.3525,0.048501687,0.049763241,0
-1.35125,0.048501687,0.053475056,0
-1.35,0.048501687,0.053475056,0
-1.34875,0.048501687,0.053475056,0
-1.3475,0.048501687,0.053475056,0
-1.34625,0.048501687,0.053475056,0
-1.345,0.048501687,0.053475056,0
-1.34375,0.048501687,0.053475056,0
-1.3425,0.048501687,0.053475056,0
-1.34125,0.048501687,0.053475056,0
-1.34,0.048501687,0.053475056,0
-1.33875,0.048501687,0.053475056,0
-1.3375,0.048501687,0.053475056,0
-1.33625,0.048501687,0.053475056,0
-1.335,0.048501687,0.053475056,0
-1.33375,0.048501687,0.053475056,0
-1.3325,0.048501687,0.053475056,0
-1.33125,0.048501687,0.053475056,0
-1.33,0.048501687,0.053475056,0
-1.32875,0.048501687,0.053475056,0
-1.3275,0.048501687,0.053475056,0
-1.32625,0.048501687,0.053475056,0
-1.325,0.048501687,0.053475056,0
-1.32375,0.048501687,0.053475056,0
-1.3225,0.048501687,0.053475056,0
-1.32125,0.048501687,0.053475056,0
-1.32,0.048501687,0.053475056,0
-1.31875,0.048501687,0.053475056,0
-1.3175,0.048501687,0.053475056,0
-1.31625,0.048501687,0.053475056,0
-1.315,0.048501687,0.053475056,0
-1.31375,0.048501687,0.053475056,0
-1.3125,0.048501687,0.053475056,0
-1.31125,0.048501687,0.053475056,0
-1.31,0.048501687,0.053475056,0
-1.30875,0.048501687,0.053475056,0
-1.3075,0.048501687,0.053475056,0
-1.30625,0.048501687,0.053475056,0
-1.305,0.048501687,0.053475056,0
-1.30375,0.048501687,0.053475056,0
-1.3025,0.048501687,0.053475056,0
-1.30125,0.048501687,0.053475056,0
-1.3,0.048501687,0.053475056,0
-1.29875,0.048501687,0.053475056,0
-1.2975,0.048501687,0.053475056,0
-1.29625,0.048501687,0.053475056,0
